"EnglishName","Website","Lat","Long","Road","Suburb","State_Postcode"
"Full Gospel Assembly Melbourne (Chinese)","http://www.fgam.org.au/","-37.8122589","145.1361661","38 Lexton Road","Box Hill North","VIC 3129"
"Holy Trinity Anglican Church","http://www.holytrinitydoncaster.org.au/","-37.7877729","145.1383163","106 Church Road","Doncaster","VIC 3108"
"St Michael‘s Uniting Church","http://stmichaels.org.au/","-37.8142665","144.9696592","120 Collins St","Melbourne","VIC 3000"
"St Thomas' Burwood Anglican Church","http://www.stthomasburwood.org.au/","-37.8529178","145.1199097","44 Station Street","Burwood","VIC 3125"
"Melbourne Chinese Methodist Box Hill Church",NA,"-37.8217436","145.1224659","4 Oxford Street","Box Hill","VIC 3128"
"Living Stone Christian Church, Melbourne",NA,"-37.8074797","145.1111604","41 Strabane Avenue","Mont Albert","VIC 3129"
"Full Gospel Christian Assembly(Love of God Church)",NA,"-37.8069306","145.1893960","455 Springfield Road","Mitcham","VIC 3132"
"The Salvation Army Ringwood Chinese Church",NA,"-37.8217546","145.2277549","53 Wantirna Road","Ringwood","VIC 3134"
"CityLife Chinese Church","http://www.citylifechurch.com/chinese/","-37.8791984","145.2145284","1248 High Street Road","Wantirna South","VIC 3152"
"Renewal Chinese Christian Church","https://www.rgcc.com.au/","-37.8347371","145.1780540","333a Canterbury Road","Forest Hill","VIC 3131"
"Christ Community Alliance Church","http://www.cma.org.au/","-37.8752480","145.1725537","832 Hight Street Road","Glen Waverley","VIC 3150"
"Crossway Baptist Church",NA,"-37.8590830","145.1672922","2 Vision Drive","Burwood East","VIC 3151"
"Grace Baptist Community Church (Baptist Union of Victoria)",NA,"-37.9020510","145.1445893","6 Elwood Street","Notting Hill","VIC 3168"
"Chinese Methodist Church of Melbourne, Clayton",NA,"-37.9169446","145.1428281","118-122 Wellington Road","Clayton","VIC 3168"
"Evangelical Community Church Springvale","http://www.eccs.org.au/","-37.9491241","145.1461630","46 Balmoral Ave","Springvale","VIC 3171"
"Salvation Army Chinese Corp. Springvale","http://www.salvationarmy.org.au/springvale","-37.9552577","145.1584949","5 View Road","Springvale","VIC 3171"
"Chinese Christian Teo-Chew Church of Melbourne",NA,"-37.9644734","145.1779666","18 Kelvinside Road","Noble Park","VIC 3174"
"Trinity Methodist Church","http://www.tmc.cmca.ws/","-37.9875334","145.2354296","157 Kidds Road","Doveton","VIC 3177"
"Eastern Chinese Baptist Church",NA,"-37.9259747","145.2494438","2 Le John St","Rowville","VIC 3178"
"Overseas Campus Australia",NA,"-37.8396770","145.1423042","69 Aldinga St","Blackburn South","VIC 3130"
"Glory City Church","http://www.glorycitychurch.com/","-37.8042859","144.9581181","601-603 Elizabeth Street","Melbourne","VIC 3000"
"CARE Ministries International Australia","http://auscmi.weebly.com","-37.8869336","145.1847385","10 Aston Heath","Glen Waverley","VIC 3150"
"Chinese Methodist Church in Australia, Trinity Methodist Church","http://trinitymc.org.au/","-37.9875334","145.2354296","157 Kidds Road","Doveton","VIC 3177"
"Chinese Methodist Church in Australia, Monash Methodist Church","http://monashmethodist.org.au","-37.9171756","145.1429621","118 Wellington Rd","Clayton","VIC 3168"
"Chinese Methodist Church in Australia, City Light Methodist Church","http://citylightmethodistchurch.blogspot.com.au/","-37.8225172","144.9512490","717 Flinders Street","Docklands","VIC 3008"
"Chinese Methodist Church in Australia, Camberwell Methodist Church","http://www.cmca-camberwell.org.au/","-37.8392080","145.0755690","58 Cooloongatta Road","Camberwell","VIC 3124"
"Chinese Methodist Church in Australia","http://www.cmca.org.au","-37.8842541","145.0678150","1219 Dandenong Rd.","Malvern East","VIC 3145"
"Evangelical Community Church, Frankston","http://www.eccfrankston.org.au/","-38.1482550","145.1181820","16-18 High Street","Frankston","VIC 3199"
"Bethel Bread of Life Christian Church in Melbourne","http://bethelbreadoflife.org","-37.8275495","145.0902820","1 Kent Rd.","Surrey Hills","VIC 3127"
"Joy River Bread of Life Christian Church in Melbourne","https://www.joyriver.church/","-37.8687806","145.1259324","383 High St Rd","Mount Waverley","VIC 3149"
"Doncaster Church of Christ Chinese Fellowship","https://www.doncasterchurch.org.au/chinese-fellowship","-37.7876507","145.1302211","680 Doncaster Road","Doncaster","VIC 3108"
"Cantonese Congregation, Templestowe Baptist Church, Melbourne, Australia",NA,"-37.7675000","145.1713270","103 Andersons Creek Road","Doncaster East","VIC 3109"
"Presbyterian Theological College Chinese Department","http://ptc.edu.au","-37.7971994","145.1191338","684 Elgar Road","Box Hill North","VIC 3129"
"Donvale Presbyterian Chinese Church",NA,"-37.7956872","145.1797995","5 McGowans Road","Donvale","VIC 3111"
